timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open,Anomaly
2014-09-13,725398.3646,27800072130.0,11931.11465,61246.77111584977,0,159182,179205,4545.7942,181,479.0020142,15437200.0,6334873398.0,477.7929993,0
2014-09-14,1099286.532,29829733124.0,11997.02383,67656.4669933217,0,198458,307488,5375.8079,158,477.8919983,15588000.0,6353614254.0,479.1170044,0
2014-09-15,1156009.544,29829733124.0,11987.24891,78667.21916724526,0,229489,222114,5845.7966,158,475.3710022,13105500.0,6340778582.0,477.7650146,0
2014-09-16,1185250.62,29829733124.0,11970.80306,87233.52759116606,0,249716,247362,6849.0257,171,466.0570068,15345200.0,6309195218.0,474.8619995,0
2014-09-17,962581.0753,29829733124.0,11820.10735,80304.64986427667,0,220582,227493,5785.9774,186,457.3340149,16797300.0,6187570806.0,465.8640137,0
2014-09-18,946811.8436,29829733124.0,11553.7895,77364.43955525146,0,208697,221458,5690.302,179,424.4400024,21056800.0,6073910021.0,456.8599854,0
2014-09-19,885411.4386,29829733124.0,11051.61282,69436.65323040416,0,186961,190782,4679.0397,171,394.79599,34483200.0,5638918842.0,424.1029968,0
2014-09-20,833606.7955,29829733124.0,10180.19798,63482.03664290402,0,180628,189403,4170.8014,176,408.9039917,37919700.0,5246779621.0,394.6730042,0
2014-09-21,871985.0732,29829733124.0,10290.63223,59798.48313122255,0,159698,265820,3834.6791,164,398.8210144,36863600.0,5436072002.0,408.0849915,0
2014-09-22,1041553.214,29829733124.0,10064.99552,73289.80786603957,0,216833,226209,4703.1979,168,402.1520081,26580100.0,5303651275.0,399.1000061,0
2014-09-23,1238303.733,29829733124.0,10097.69977,77284.06972068448,0,230064,238741,5129.9362,150,435.7909851,24127600.0,5349637034.0,402.0920105,0
2014-09-24,1142037.026,29829733124.0,10254.38783,74971.14846191932,0,216386,243783,5052.4753,156,423.2049866,45099500.0,5798754889.0,435.7510071,0
2014-09-25,1134307.744,30419649105.0,10706.04023,78523.591134218,0,239012,256255,5639.9546,172,411.5740051,30627700.0,5632911451.0,423.1560059,0
2014-09-26,1240459.821,34661425924.0,10487.18837,72555.50156496206,0,203869,216112,19790.2912,134,404.4249878,26814400.0,5479902023.0,411.4289856,0
2014-09-27,1169703.672,34661425924.0,10192.00642,63137.887818742085,0,192256,214707,4255.3482,134,399.519989,21460800.0,5386071486.0,403.5559998,0
2014-09-28,1314369.785,34661425924.0,10101.611,62438.90243026975,0,193937,309798,4336.8962,130,377.1809998,15029300.0,5322075836.0,399.4710083,0
2014-09-29,1290743.416,34661425924.0,9842.157569,77924.27055713492,0,220842,213742,4782.3076,137,375.4670105,23613300.0,5025729375.0,376.928009,0
2014-09-30,1188602.797,34661425924.0,9501.277229,78017.40916422964,0,222622,243048,4594.1431,153,386.9440002,32497700.0,5004177243.0,376.0880127,1
2014-10-01,1200937.445,34661425924.0,9558.748671,78779.77828573096,0,224209,264989,4921.0982,155,383.6149902,34707300.0,5158621325.0,387.427002,0
2014-10-02,1195797.217,34661425924.0,9670.176895,72085.9159410063,0,203451,213390,4336.9547,138,375.071991,26229400.0,5115688242.0,383.9880066,0
2014-10-03,1163749.123,34661425924.0,9542.717584,75094.64449347067,0,201615,258668,4594.2259,146,359.5119934,21777700.0,5003085408.0,375.1809998,0
2014-10-04,1107291.74,34661425924.0,9289.985784,66631.59977289286,0,210708,225285,4656.2469,154,328.8659973,30901200.0,4796851775.0,359.8919983,0
2014-10-05,1072752.284,34661425924.0,8720.732348,67329.53187140134,0,207559,317617,4137.4915,169,320.5100098,47236500.0,4389218291.0,328.9159851,0
2014-10-06,1120146.807,34661425924.0,7971.148548,78050.50936064283,0,222634,227767,4008.6428,161,330.07901,83308096.0,4279040870.0,320.3890076,0
2014-10-07,1349109.612,34661425924.0,8167.945977,79069.9601158657,0,223765,231672,4347.7191,134,336.1870117,79011800.0,4408130777.0,330.5840149,0
2014-10-08,1233000.611,34661425924.0,8308.590895,78819.24927035667,0,220315,221570,4153.0788,144,352.9400024,49199900.0,4490819565.0,336.1159973,0
2014-10-09,1202238.189,34758212115.0,8505.844614,82790.74994378217,0,219779,227780,4713.0351,148,365.026001,54736300.0,4715887222.0,352.7479858,0
2014-10-10,1141675.432,35002482026.0,9108.718078,81057.84019771263,0,215704,236560,4722.5316,155,361.5620117,83641104.0,4878718500.0,364.6870117,0
2014-10-11,995552.8611,35002482026.0,9105.933855,65020.7701783827,0,176007,190603,3770.4686,144,362.2990112,43665700.0,4833830847.0,361.3619995,0
2014-10-12,1144829.946,35002482026.0,9055.631451,63509.63185778038,0,195226,299252,3978.4777,148,378.5490112,13345200.0,4844961125.0,362.6059875,0
2014-10-13,1185552.439,35002482026.0,9124.753245,77943.25778064091,0,225131,243395,4766.7242,155,390.4140015,17552800.0,5063689090.0,377.92099,0
2014-10-14,1472732.667,35002482026.0,9517.85743,81364.67967700228,0,245817,228745,5030.1681,132,400.8699951,35221400.0,5223924767.0,391.6919861,0
2014-10-15,1188476.185,35002482026.0,10084.41687,76257.82902463722,0,221287,236218,5045.9143,151,394.7730103,38491500.0,5365153884.0,400.9549866,0
2014-10-16,1139779.486,35002482026.0,9915.978951,75736.39519320229,0,208965,211837,4806.8936,148,382.5559998,25267100.0,5285043276.0,394.5180054,0
2014-10-17,1161859.521,35002482026.0,9732.733791,70837.57607362371,0,205582,207805,4541.7017,142,383.7579956,26990000.0,5122903035.0,382.756012,0
2014-10-18,900184.1951,35002482026.0,9549.046345,66476.9056602393,0,179690,202642,3943.613,164,391.4419861,13600700.0,5140342471.0,383.9760132,0
2014-10-19,1248021.744,35002482026.0,9697.931504,63255.32333839077,0,189523,296099,4080.6316,133,389.54599,11416800.0,5244892214.0,391.2539978,0
2014-10-20,1352267.504,35002482026.0,9810.972538,82699.4460959429,0,230061,232021,5065.26,137,382.8450012,5914570.0,5220783140.0,389.2309875,0
2014-10-21,1248764.0,35002482026.0,9640.191218,81652.1860802979,0,235991,238486,5001.8081,153,386.4750061,16419000.0,5132276503.0,382.42099,0
2014-10-22,1158189.635,35002482026.0,9696.061336,79986.91768759702,0,226106,237928,4899.0633,159,383.1579895,14188900.0,5182426851.0,386.1180115,0
2014-10-23,1232121.351,35640558234.0,9667.405066,80639.07152655836,0,232684,227474,4930.8562,151,358.4169922,11641300.0,5139461096.0,382.9620056,0
2014-10-24,1078781.258,35985640265.0,9266.200232,77905.85491291688,0,211479,216210,4563.3344,159,358.3450012,26456900.0,4808952572.0,358.5910034,0
2014-10-25,1063378.297,35985640265.0,8994.713637,72515.21866053694,0,191710,266702,3985.5728,155,347.2709961,15585700.0,4809419914.0,358.6109924,0
2014-10-26,1332920.096,35985640265.0,8806.760494,70762.4171829301,0,198620,246746,3938.7834,125,354.70401,18127500.0,4662139220.0,347.4869995,0
2014-10-27,1261066.164,35985640265.0,8843.99166,83976.81262257804,0,245616,264506,4768.6892,159,352.9890137,11272500.0,4763036253.0,354.7770081,0
2014-10-28,1415219.101,35985640265.0,8916.670063,87980.06691110496,0,240737,250316,4749.9425,138,357.6180115,13033000.0,4741410021.0,353.2149963,0
2014-10-29,1278389.471,35985640265.0,8961.641743,93664.48855977338,0,242747,257006,5098.2402,155,335.5910034,7845880.0,4804812401.0,357.0889893,1
2014-10-30,1194771.176,35985640265.0,8730.883556,92621.73398650571,0,249463,261533,4825.1777,170,345.3049927,18192700.0,4510175245.0,335.7090149,0
2014-10-31,1016883.468,35985640265.0,8510.761999,85704.84863986968,0,237241,239679,4373.256,188,338.3210144,30177900.0,4642194094.0,345.0090027,0
2014-11-01,970943.4969,35985640265.0,8586.583165,69589.63533148298,0,189456,204095,4306.1989,159,325.7489929,12545400.0,4549893052.0,338.6499939,0
