timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
10/7/2014,1349109.612,34661425924,8167.945977,79069.96012,0,223765,231672,4347.7191,134,336.1870117,79011800,4408130777,330.5840149
10/8/2014,1233000.611,34661425924,8308.590895,78819.24927,0,220315,221570,4153.0788,144,352.9400024,49199900,4490819565,336.1159973
10/9/2014,1202238.189,34758212115,8505.844614,82790.74994,0,219779,227780,4713.0351,148,365.026001,54736300,4715887222,352.7479858
10/10/2014,1141675.432,35002482026,9108.718078,81057.8402,0,215704,236560,4722.5316,155,361.5620117,83641104,4878718500,364.6870117
10/11/2014,995552.8611,35002482026,9105.933855,65020.77018,0,176007,190603,3770.4686,144,362.2990112,43665700,4833830847,361.3619995
10/12/2014,1144829.946,35002482026,9055.631451,63509.63186,0,195226,299252,3978.4777,148,378.5490112,13345200,4844961125,362.6059875
10/13/2014,1185552.439,35002482026,9124.753245,77943.25778,0,225131,243395,4766.7242,155,390.4140015,17552800,5063689090,377.92099
10/14/2014,1472732.667,35002482026,9517.85743,81364.67968,0,245817,228745,5030.1681,132,400.8699951,35221400,5223924767,391.6919861
10/15/2014,1188476.185,35002482026,10084.41687,76257.82902,0,221287,236218,5045.9143,151,394.7730103,38491500,5365153884,400.9549866
10/16/2014,1139779.486,35002482026,9915.978951,75736.39519,0,208965,211837,4806.8936,148,382.5559998,25267100,5285043276,394.5180054
10/17/2014,1161859.521,35002482026,9732.733791,70837.57607,0,205582,207805,4541.7017,142,383.7579956,26990000,5122903035,382.756012
10/18/2014,900184.1951,35002482026,9549.046345,66476.90566,0,179690,202642,3943.613,164,391.4419861,13600700,5140342471,383.9760132
10/19/2014,1248021.744,35002482026,9697.931504,63255.32334,0,189523,296099,4080.6316,133,389.54599,11416800,5244892214,391.2539978
10/20/2014,1352267.504,35002482026,9810.972538,82699.4461,0,230061,232021,5065.26,137,382.8450012,5914570,5220783140,389.2309875
10/21/2014,1248764,35002482026,9640.191218,81652.18608,0,235991,238486,5001.8081,153,386.4750061,16419000,5132276503,382.42099
10/22/2014,1158189.635,35002482026,9696.061336,79986.91769,0,226106,237928,4899.0633,159,383.1579895,14188900,5182426851,386.1180115
10/23/2014,1232121.351,35640558234,9667.405066,80639.07153,0,232684,227474,4930.8562,151,358.4169922,11641300,5139461096,382.9620056
10/24/2014,1078781.258,35985640265,9266.200232,77905.85491,0,211479,216210,4563.3344,159,358.3450012,26456900,4808952572,358.5910034
10/25/2014,1063378.297,35985640265,8994.713637,72515.21866,0,191710,266702,3985.5728,155,347.2709961,15585700,4809419914,358.6109924
10/26/2014,1332920.096,35985640265,8806.760494,70762.41718,0,198620,246746,3938.7834,125,354.70401,18127500,4662139220,347.4869995
10/27/2014,1261066.164,35985640265,8843.99166,83976.81262,0,245616,264506,4768.6892,159,352.9890137,11272500,4763036253,354.7770081
10/28/2014,1415219.101,35985640265,8916.670063,87980.06691,0,240737,250316,4749.9425,138,357.6180115,13033000,4741410021,353.2149963
10/29/2014,1278389.471,35985640265,8961.641743,93664.48856,0,242747,257006,5098.2402,155,335.5910034,7845880,4804812401,357.0889893
10/30/2014,1194771.176,35985640265,8730.883556,92621.73399,0,249463,261533,4825.1777,170,345.3049927,18192700,4510175245,335.7090149
10/31/2014,1016883.468,35985640265,8510.761999,85704.84864,0,237241,239679,4373.256,188,338.3210144,30177900,4642194094,345.0090027
11/1/2014,970943.4969,35985640265,8586.583165,69589.63533,0,189456,204095,4306.1989,159,325.7489929,12545400,4549893052,338.6499939
11/2/2014,1262771.948,35985640265,8293.97955,77170.05481,0,222176,349958,4181.8565,155,325.8919983,16677200,4382113991,326.0750122
11/3/2014,1215033.42,35985640265,8176.472122,90350.79098,0,254762,250569,5403.2928,169,327.5539856,8603620,4385292372,325.5690002
11/4/2014,1215835.333,35985640265,8262.243278,87617.58361,0,244203,246801,4453.8569,162,330.4920044,12948500,4409040617,327.1610107
11/5/2014,1401873.971,38974444342,8245.146289,89460.20991,0,239234,245579,4401.6953,138,339.4859924,15655500,4449934321,330.6830139
11/6/2014,1399327.299,39603666252,8484.659597,94296.10902,0,269872,262777,4875.5932,154,349.2900085,19817200,4572205935,339.4580078
11/7/2014,1354472.933,39603666252,8612.208487,83955.86788,0,259332,235833,4606.234,150,342.4150085,18797000,4705591219,349.8179932
11/8/2014,1062328.549,39603666252,8672.884541,72717.55837,0,203138,200454,3730.8196,153,345.4880066,16834200,4614264695,342.1539917
11/9/2014,1264228.853,39603666252,8648.058867,72210.3543,0,215878,334111,5183.8012,150,363.2640076,8535470,4656988222,345.3760071
11/10/2014,1386586.449,39603666252,8815.332356,88996.06743,0,252463,256459,4716.1596,147,366.9240112,24205600,4897961165,362.2650146
